Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,8/3/12,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,FALSE
1,8/10/12,85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,FALSE
1,8/17/12,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,FALSE
1,8/24/12,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,FALSE
1,8/31/12,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,FALSE
1,9/7/12,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,TRUE
1,9/14/12,74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,FALSE
1,9/21/12,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,FALSE
1,9/28/12,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,FALSE
1,10/5/12,68.55,3.617,8077.89,NA,18.22,3617.43,3626.14,223.1814772,6.573,FALSE
1,10/12/12,62.99,3.601,2086.18,NA,8.11,602.36,5926.45,223.3812965,6.573,FALSE
1,10/19/12,67.97,3.594,950.33,NA,4.93,80.25,2312.85,223.4257233,6.573,FALSE
1,10/26/12,69.16,3.506,2585.85,31.75,6,1057.16,1305.01,223.4442513,6.573,FALSE
1,11/2/12,55.32,3.386,6766.44,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,FALSE
1,11/9/12,61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,FALSE
1,11/16/12,52.92,3.252,9696.28,292.1,103.78,1133.15,6612.69,223.5129105,6.573,FALSE
1,11/23/12,56.23,3.211,883.59,4.17,74910.32,209.91,303.32,223.5619474,6.573,TRUE
1,11/30/12,52.34,3.207,2460.03,NA,3838.35,150.57,6966.34,223.6109842,6.573,FALSE
1,12/7/12,64.12,3.198,6343.16,NA,270,2928.9,10147.9,223.6600211,6.573,FALSE
1,12/14/12,48.89,3.168,3504.83,NA,73.26,1636.8,2779.6,223.7192767,6.573,FALSE
1,12/21/12,56.02,3.098,8231.71,NA,274,358.15,2834.02,223.8398455,6.573,FALSE
1,12/28/12,44.79,3.108,12659.55,37101.13,174.78,74.46,1208.86,223.9604143,6.573,TRUE
2,1/6/12,46.75,3.157,5886.72,37454.29,121.16,2388.92,7103.97,219.355063,7.057,FALSE
2,1/13/12,45.99,3.261,4414.72,12092.63,98.38,708.18,4245.6,219.5328198,7.057,FALSE
2,1/20/12,51.7,3.268,6552.26,4355.69,105.97,1703.1,3376.03,219.6258417,7.057,FALSE
2,1/27/12,50.5,3.29,1920.15,1507.56,86.09,43.4,2613.53,219.7188636,7.057,FALSE
2,2/3/12,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,FALSE
2,2/10/12,46.98,3.409,13510.89,6674.42,94.07,14114.9,9577.83,219.9049073,7.057,TRUE
2,2/17/12,43.82,3.51,13942.54,14273.24,15.76,4927.14,6650.08,220.0651993,7.057,FALSE
2,2/24/12,54.63,3.555,13048.36,12059.1,10.2,5299.73,10380.03,220.275944,7.057,FALSE
2,3/2/12,58.79,3.63,23901.27,2144.7,9,9799.63,4929.53,220.4866886,7.057,FALSE
2,3/9/12,57.11,3.669,11784.91,368.32,3,2498.17,7746,220.6974332,7.057,FALSE
2,3/16/12,63.68,3.734,5965.99,230.42,3,2650.77,2073.81,220.8498468,7.057,FALSE
2,3/23/12,64.01,3.787,6008.98,139.93,6.63,1650.49,5263.08,220.9244858,7.057,FALSE
2,3/30/12,66.83,3.845,14369.3,164.77,17,1017.31,3470.49,220.9991248,7.057,FALSE
2,4/6/12,68.43,3.891,12132.59,1.3,32.58,4874.69,5535.13,221.0737638,6.891,FALSE
2,4/13/12,68.08,3.891,8994.04,6573.08,20.21,4162.2,1966.38,221.1484028,6.891,FALSE
2,4/20/12,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,FALSE
2,4/27/12,67.2,3.814,3076.68,NA,38.32,108.71,2708.9,221.255812,6.891,FALSE
2,5/4/12,76.73,3.749,23731.47,NA,78.09,7931.42,4443.52,221.3095166,6.891,FALSE
2,5/11/12,73.87,3.688,16519.5,NA,117.38,5131.02,3634.25,221.3632212,6.891,FALSE
2,5/18/12,71.27,3.63,9262.12,NA,42.67,3694.8,4612.01,221.380331,6.891,FALSE
2,5/25/12,78.19,3.561,10701.32,NA,1030.53,3595.04,14920.27,221.3828029,6.891,FALSE
2,6/1/12,78.38,3.501,13091.33,21,245.37,2993.15,5521.72,221.3852748,6.891,FALSE
2,6/8/12,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,FALSE
2,6/15/12,80.56,3.393,8573.41,195,0.19,4455.38,5288.61,221.4009901,6.891,FALSE
2,6/22/12,81.04,3.346,12126.02,314,60.99,6058.6,36430.33,221.4411622,6.891,FALSE
2,6/29/12,86.32,3.286,8495.34,275.8,NA,1935.16,5686.13,221.4813343,6.891,FALSE
2,7/6/12,84.2,3.227,12355.5,295.05,100.15,6720.4,5506.53,221.5215064,6.565,FALSE
2,7/13/12,80.17,3.256,8354.65,342.25,20.53,5674.44,5012.22,221.5616784,6.565,FALSE
2,7/20/12,83.23,3.311,6961.58,241.2,24.97,3401.36,2453.42,221.5701123,6.565,FALSE
2,7/27/12,86.37,3.407,6999.14,197.72,2.53,6319.33,5007.01,221.5785461,6.565,FALSE
2,8/3/12,90.22,3.417,27650.68,164.58,43.02,21801.9,6652.98,221.5869799,6.565,FALSE
2,8/10/12,88.55,3.494,5554.54,142.3,13.43,4187.43,5286.19,221.5954138,6.565,FALSE
2,8/17/12,84.79,3.571,4774.16,330.78,10.53,4253.28,4927.26,221.6751459,6.565,FALSE
2,8/24/12,76.91,3.62,4759.7,211.38,6.62,2972.88,5102.26,221.8083518,6.565,FALSE
2,8/31/12,82.64,3.638,17500.26,73.22,21.38,12878.62,4756.5,221.9415576,6.565,FALSE
2,9/7/12,87.65,3.73,10658.86,149.28,60.97,2920.9,3275.57,222.0747635,6.565,TRUE
2,9/14/12,75.88,3.717,8325.93,NA,37.32,1808.69,9314.55,222.2174395,6.565,FALSE
2,9/21/12,71.09,3.721,6707.94,3.82,15.55,1001.42,7607.94,222.4169362,6.565,FALSE
2,9/28/12,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,FALSE
2,10/5/12,70.27,3.617,6037.76,NA,10.04,3027.37,3853.4,222.8159296,6.17,FALSE
2,10/12/12,60.97,3.601,2145.5,NA,33.31,586.83,10421.01,223.0154263,6.17,FALSE
2,10/19/12,68.08,3.594,4461.89,NA,1.14,1579.67,2642.29,223.0598077,6.17,FALSE
2,10/26/12,69.79,3.506,6152.59,129.77,200,272.29,2924.15,223.0783366,6.17,FALSE
2,11/2/12,56.4,3.386,9585.99,6181.03,32.4,1571.2,4510.08,223.0968655,6.17,FALSE
2,11/9/12,61.9,3.314,9497.69,2711.51,109.45,7185.16,6480.49,223.1153944,6.17,FALSE
2,11/16/12,52.72,3.252,26925.38,285.03,101.44,2014.28,8732.45,223.1469028,6.17,FALSE
2,11/23/12,58.06,3.211,2280.54,2.49,105146.3,927.97,1253.85,223.1957173,6.17,TRUE
2,11/30/12,52.64,3.207,4764.84,NA,4748.06,200.48,6088.49,223.2445318,6.17,FALSE
2,12/7/12,64.19,3.198,7303.66,NA,460.32,2352.61,14872.79,223.2933463,6.17,FALSE
2,12/14/12,47.69,3.168,5550.46,NA,50,871.41,2419.54,223.3523969,6.17,FALSE
2,12/21/12,55.14,3.098,5692.66,248.76,312.92,594.17,2167.73,223.4728642,6.17,FALSE
2,12/28/12,41.56,3.108,13194.12,56549.69,377.76,115.89,3479.8,223.5933316,6.17,TRUE
3,1/6/12,52.42,3.157,3824.22,9389.98,15,415.36,1476.85,223.1923049,6.833,FALSE
3,1/13/12,51.86,3.261,3927.76,3323.64,NA,226.97,1725.19,223.3755259,6.833,FALSE
3,1/20/12,56.2,3.268,720.82,1629.26,1.46,16.05,799.5,223.4700552,6.833,FALSE
3,1/27/12,58.06,3.29,774.55,349.99,NA,4,328.72,223.5645845,6.833,FALSE
3,2/3/12,59.33,3.36,9667.5,268.29,0.6,8368.15,804.24,223.6591137,6.833,FALSE
3,2/10/12,51.65,3.409,8687.47,1594.87,2.2,2144.87,2577.83,223.753643,6.833,TRUE
3,2/17/12,52.39,3.51,2706.87,3128.74,1.88,2396.68,1631.28,223.9170153,6.833,FALSE
3,2/24/12,60.12,3.555,6129.28,1802.84,NA,301.48,1929.71,224.1320199,6.833,FALSE
3,3/2/12,61.65,3.63,3552.58,601.32,NA,2666.22,1524.87,224.3470245,6.833,FALSE
3,3/9/12,60.71,3.669,8368.5,298.46,1.39,1340.29,1416.22,224.5620291,6.833,FALSE
3,3/16/12,64,3.734,2588.06,80.89,3.2,909.76,491.83,224.7166953,6.833,FALSE
3,3/23/12,66.53,3.787,737.08,36.1,1.43,92.11,583.9,224.7909104,6.833,FALSE
3,3/30/12,69.36,3.845,825.1,99.83,1.25,113.25,388.39,224.8651254,6.833,FALSE
3,4/6/12,73.01,3.891,4433.71,NA,24.45,1282.3,1062.83,224.9393405,6.664,FALSE
3,4/13/12,72.83,3.891,5359.22,1673.42,3,682.03,1371.55,225.0135556,6.664,FALSE
3,4/20/12,72.05,3.877,2784.82,130.68,1.75,425.29,904.8,225.0689541,6.664,FALSE
3,4/27/12,73.39,3.814,1178.7,NA,2.95,36.5,351.97,225.1243526,6.664,FALSE
3,5/4/12,79.51,3.749,2430.23,NA,30.92,1159.71,1432.53,225.1797511,6.664,FALSE
3,5/11/12,75.19,3.688,3794.95,NA,0.25,813.77,618.46,225.2351496,6.664,FALSE
3,5/18/12,72.38,3.63,3208.73,NA,0.3,143.23,805.06,225.2512024,6.664,FALSE
3,5/25/12,78.58,3.561,3032.03,NA,291.17,536.82,580.87,225.2515168,6.664,FALSE
3,6/1/12,81.55,3.501,2664.55,10,220.03,618.49,1940.77,225.2518313,6.664,FALSE
3,6/8/12,81.65,3.452,5770.48,28.6,30.18,283.7,2093.48,225.2521458,6.664,FALSE
3,6/15/12,84.66,3.393,2014.47,31.8,1,631.17,835.34,225.2644795,6.664,FALSE
3,6/22/12,82.7,3.346,1843.45,11.2,0.51,421.71,1743.54,225.3068615,6.664,FALSE
3,6/29/12,86.42,3.286,2297.32,8,NA,395.28,1182.52,225.3492435,6.664,FALSE
3,7/6/12,83.14,3.227,2625.99,30.7,28.16,703.16,1962.17,225.3916254,6.334,FALSE
3,7/13/12,82.28,3.256,3196.9,20.8,2.02,302.29,451.1,225.4340074,6.334,FALSE
3,7/20/12,81.38,3.311,1266.72,66.2,3.83,149.62,558.02,225.4438827,6.334,FALSE
3,7/27/12,84.94,3.407,3447.28,31,2.46,1791.7,1107.97,225.4537579,6.334,FALSE
3,8/3/12,86.55,3.417,5683.49,37.2,0.04,2484.22,639.29,225.4636332,6.334,FALSE
3,8/10/12,85.85,3.494,3375.44,28.4,2.4,1880.43,555.9,225.4735085,6.334,FALSE
3,8/17/12,87.36,3.571,990.08,44.2,NA,401.46,430.69,225.5558664,6.334,FALSE
3,8/24/12,83.01,3.62,3062.02,26.8,NA,1004.51,1285.29,225.6925864,6.334,FALSE
3,8/31/12,85.18,3.638,6599.69,27.8,24.7,1743.76,428.74,225.8293063,6.334,FALSE
3,9/7/12,84.99,3.73,2266.83,19,8.31,419.87,926.86,225.9660263,6.334,TRUE
3,9/14/12,78.36,3.717,3589.7,NA,3.72,2080.29,1760.69,226.1122067,6.334,FALSE
3,9/21/12,72.78,3.721,3233.34,1.91,7.69,878.66,1602.11,226.3151496,6.334,FALSE
3,9/28/12,77.46,3.666,2493.82,NA,1.5,890.65,715.52,226.5180926,6.334,FALSE
3,10/5/12,72.74,3.617,1750.8,NA,3.01,480.24,646.82,226.7210356,6.034,FALSE
3,10/12/12,70.31,3.601,775.31,NA,2.78,498.54,328.16,226.9239785,6.034,FALSE
3,10/19/12,73.44,3.594,629.25,NA,7.5,75.11,3010.32,226.9688442,6.034,FALSE
3,10/26/12,74.66,3.506,370.99,6.35,4,5.94,180.07,226.9873637,6.034,FALSE
3,11/2/12,61.61,3.386,3218.13,420.29,0.55,1498.52,749.71,227.0058832,6.034,FALSE
3,11/9/12,68.72,3.314,2540.75,985.52,0.85,273.23,422.66,227.0244026,6.034,FALSE
3,11/16/12,61.1,3.252,1933.43,197.19,48.6,433.85,961.97,227.0569237,6.034,FALSE
3,11/23/12,61.69,3.211,145.3,NA,54466.91,NA,60.92,227.1081136,6.034,TRUE
3,11/30/12,57.5,3.207,1573.54,NA,1095.99,157.62,2066.71,227.1593035,6.034,FALSE
3,12/7/12,65.09,3.198,5342.1,NA,201,317.78,2210.24,227.2104933,6.034,FALSE
3,12/14/12,54.72,3.168,1214.46,NA,28,119.11,861.4,227.2717348,6.034,FALSE
3,12/21/12,59.39,3.098,3318.97,NA,10,397.02,296.66,227.3932855,6.034,FALSE
3,12/28/12,51.76,3.108,6542.05,10952.76,70.6,201.38,327.07,227.5148363,6.034,TRUE
4,1/6/12,38.64,3.158,7857.71,38677.72,234,863.22,8682.95,130.1575161,4.607,FALSE
4,1/13/12,34.41,3.263,3666.28,14553.37,76.37,820.37,5955.28,130.244,4.607,FALSE
4,1/20/12,42.09,3.273,2109.41,7040.02,44.16,918.36,1116.83,130.2792258,4.607,FALSE
4,1/27/12,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,130.3144516,4.607,FALSE
4,2/3/12,41.81,3.354,50820.76,4033.29,285.11,48086.64,7456.15,130.3496774,4.607,FALSE
4,2/10/12,33,3.411,11374.63,7208.51,118.37,12869.78,10618.93,130.3849032,4.607,TRUE
4,2/17/12,34.19,3.493,14225.99,11049.65,17.36,11912.49,7565.99,130.4546207,4.607,FALSE
4,2/24/12,41.31,3.541,9777.71,4703.88,5.4,1179.72,9352.14,130.5502069,4.607,FALSE
4,3/2/12,50.38,3.619,18564.88,1394.86,32.93,10714.6,3592.82,130.6457931,4.607,FALSE
4,3/9/12,53.63,3.667,8779.57,602.02,8.53,1103.64,9464.98,130.7413793,4.607,FALSE
4,3/16/12,59.81,3.707,5669.21,37.12,NA,8540.87,2544.94,130.8261935,4.607,FALSE
4,3/23/12,59.07,3.759,8806.8,-10.5,5.99,739.14,4396.97,130.8966452,4.607,FALSE
4,3/30/12,72.63,3.82,2565.8,442.52,6.5,487.66,4076.68,130.9670968,4.607,FALSE
4,4/6/12,67.69,3.864,11341.17,NA,73.38,5677.89,7821.95,131.0375484,4.308,FALSE
4,4/13/12,68.69,3.881,12506.74,5941.43,30.84,3915.29,4392.95,131.108,4.308,FALSE
4,4/20/12,68.6,3.864,2774.39,4279.41,43.43,2409.97,4544.22,131.1173333,4.308,FALSE
4,4/27/12,76.47,3.81,3993.66,97.77,26.68,113.37,3947.45,131.1266667,4.308,FALSE
4,5/4/12,80.14,3.747,13737.91,NA,93.65,6993.97,4541.89,131.136,4.308,FALSE
4,5/11/12,67.64,3.685,20499.88,86,103.05,5005.96,3815.16,131.1453333,4.308,FALSE
4,5/18/12,68.43,3.62,6531.12,NA,99.91,2290.18,2521.84,131.0983226,4.308,FALSE
4,5/25/12,77.47,3.551,4330.02,436,862.31,3268.41,3749.53,131.0287742,4.308,FALSE
4,6/1/12,77.41,3.483,10165.22,8.6,47.93,2676.33,4896.34,130.9592258,4.308,FALSE
4,6/8/12,78.11,3.433,7429.46,249.8,7.86,4235.27,9690.55,130.8896774,4.308,FALSE
4,6/15/12,80.94,3.372,16063.84,84,0.22,2105.39,6113.16,130.8295333,4.308,FALSE
4,6/22/12,81.63,3.329,6619.2,351.22,3.48,5390.02,10920.89,130.7929,4.308,FALSE
4,6/29/12,84.23,3.257,3756.11,211.6,NA,2114.26,6371.15,130.7562667,4.308,FALSE
4,7/6/12,80.37,3.187,9789.03,90,157.62,10671.47,3864.91,130.7196333,4.077,FALSE
4,7/13/12,76.86,3.224,11075.38,151,17.27,3810.25,4766.88,130.683,4.077,FALSE
4,7/20/12,79.14,3.263,4799.23,47.55,30.56,634.78,4648.91,130.7012903,4.077,FALSE
4,7/27/12,81.06,3.356,7011.68,68.7,4.26,13565.83,3841.61,130.7195806,4.077,FALSE
4,8/3/12,83.86,3.374,29127.2,42.27,58.34,22663.73,10925.99,130.737871,4.077,FALSE
4,8/10/12,83.21,3.476,16996.42,36.6,60.94,4777.2,3937.09,130.7561613,4.077,FALSE
4,8/17/12,81.41,3.552,2531.63,15.04,5.54,1269.13,3528.9,130.7909677,4.077,FALSE
4,8/24/12,75.76,3.61,9983.59,NA,23.4,8115.89,7158.66,130.8381613,4.077,FALSE
4,8/31/12,76.47,3.646,19617.58,1.02,68.29,7187.73,6428.12,130.8853548,4.077,FALSE
4,9/7/12,82.09,3.709,9082.61,16,59.06,7217.88,8026.47,130.9325484,4.077,TRUE
4,9/14/12,68.2,3.706,13802.34,NA,23.12,3643.77,12517.18,130.9776667,4.077,FALSE
4,9/21/12,68.97,3.721,11214.89,5.73,16.84,6376.86,4417.13,131.0103333,4.077,FALSE
4,9/28/12,71.74,3.666,5333.92,5.73,2.94,1931.02,9753.37,131.043,4.077,FALSE
4,10/5/12,63.07,3.62,5918.34,NA,126.57,3674.49,6807.07,131.0756667,3.879,FALSE
4,10/12/12,57.11,3.603,4975.39,NA,61.17,1513.17,5905.53,131.1083333,3.879,FALSE
4,10/19/12,64.46,3.61,6313.84,NA,15.05,2421.08,5885.12,131.1499677,3.879,FALSE
4,10/26/12,63.64,3.514,1763.13,88.76,66.76,NA,7577.14,131.1930968,3.879,FALSE
4,11/2/12,53.31,3.404,3717.8,7665.66,23,190.24,1586.46,131.2362258,3.879,FALSE
4,11/9/12,59.47,3.337,28299.04,6412.64,73.18,9912.23,7259.32,131.2793548,3.879,FALSE
4,11/16/12,49.86,3.271,14400.63,409.67,205.09,1497.33,7862.4,131.3258,3.879,FALSE
4,11/23/12,55.09,3.233,3365.61,6.93,93310.3,497.28,3938.54,131.3766667,3.879,TRUE
4,11/30/12,50.91,3.24,4642.37,NA,5146.88,243.5,9819.68,131.4275333,3.879,FALSE
4,12/7/12,53.67,3.227,10755.57,NA,822,2966,22677.91,131.4784,3.879,FALSE
4,12/14/12,42.57,3.193,3409.42,NA,180,764.25,4930.05,131.537,3.879,FALSE
4,12/21/12,44.8,3.112,3564.6,137.92,118.28,21.32,1239.78,131.642,3.879,FALSE
4,12/28/12,37.93,3.125,7712.77,50636.71,347,6.24,862.39,131.747,3.879,TRUE
5,1/6/12,50.21,3.157,4602.39,6733.6,35.03,621.64,3507.24,220.2969205,5.943,FALSE
5,1/13/12,48.86,3.261,3408.93,3666.32,1.71,137.88,1706.42,220.4760185,5.943,FALSE
5,1/20/12,54.65,3.268,761.25,2100.24,NA,132.63,1276.75,220.5694104,5.943,FALSE
5,1/27/12,54.63,3.29,573.64,969.68,NA,12,861.28,220.6628023,5.943,FALSE
5,2/3/12,57.35,3.36,23811.41,1349.62,23.82,14928.42,3186.52,220.7561941,5.943,FALSE
5,2/10/12,48.57,3.409,4239.28,2725.8,1.53,3682.89,3234.79,220.849586,5.943,TRUE
5,2/17/12,48.25,3.51,5548.48,1958.52,1.76,2662.84,2820.38,221.0106341,5.943,FALSE
5,2/24/12,57.75,3.555,2220.32,1407.4,NA,145.46,2657.52,221.2224243,5.943,FALSE
5,3/2/12,60.66,3.63,6172.7,123.32,1,3063.26,1213.59,221.4342146,5.943,FALSE
5,3/9/12,57.69,3.669,1842.42,51.27,2,109.67,5043.45,221.6460048,5.943,FALSE
5,3/16/12,63.55,3.734,1879.87,30.7,2.24,585.12,1765.08,221.7989713,5.943,FALSE
5,3/23/12,64.44,3.787,694.24,32.75,5.59,210.09,775.7,221.8735063,5.943,FALSE
5,3/30/12,67.76,3.845,5097.87,25.2,2.7,322.57,1790.31,221.9480412,5.943,FALSE
5,4/6/12,70.4,3.891,5174.35,NA,6.48,1489.1,2264.89,222.0225762,5.801,FALSE
5,4/13/12,70.56,3.891,1562.33,758.49,NA,206,1642.42,222.0971111,5.801,FALSE
5,4/20/12,67.33,3.877,1197.53,225.78,3,247.94,1499.51,222.1512315,5.801,FALSE
5,4/27/12,68.96,3.814,1127.44,NA,5.05,33.35,2598.67,222.2053519,5.801,FALSE
5,5/4/12,77.1,3.749,6396.61,NA,83.63,1183.64,2813.83,222.2594722,5.801,FALSE
5,5/11/12,73.45,3.688,4668.2,NA,42.75,709.19,1740.42,222.3135926,5.801,FALSE
5,5/18/12,70.45,3.63,2639.05,NA,65.34,243.73,2119.63,222.330443,5.801,FALSE
5,5/25/12,78.23,3.561,3784.86,NA,431.99,225.2,2239.68,222.3323853,5.801,FALSE
5,6/1/12,79.72,3.501,2840.78,NA,41.58,393.41,2114,222.3343277,5.801,FALSE
5,6/8/12,81.02,3.452,4488.47,NA,0.24,231.16,1246.89,222.33627,5.801,FALSE
5,6/15/12,81.64,3.393,1911.02,0.95,0.04,570.11,1828.62,222.3492901,5.801,FALSE
5,6/22/12,80.57,3.346,2046.93,8.8,NA,677.36,2762.83,222.3900046,5.801,FALSE
5,6/29/12,87.08,3.286,1053.25,12.75,NA,113.8,1300.11,222.4307191,5.801,FALSE
5,7/6/12,82.35,3.227,2592.37,2.65,52.06,914.36,2768.98,222.4714336,5.603,FALSE
5,7/13/12,80.78,3.256,1471.06,1,12,889.18,798.44,222.5121481,5.603,FALSE
5,7/20/12,81.05,3.311,964.82,13.48,3.39,278.93,1050.13,222.5209358,5.603,FALSE
5,7/27/12,85.06,3.407,2696.67,7.75,0.36,3104.68,2152.23,222.5297234,5.603,FALSE
5,8/3/12,86.91,3.417,7365.26,14.48,0.7,3640.7,2517.31,222.5385111,5.603,FALSE
5,8/10/12,86.96,3.494,3261.56,15,0.5,1687.13,2102.31,222.5472987,5.603,FALSE
5,8/17/12,87.52,3.571,1649.56,-10.98,2.31,1955.75,1205.23,222.6276753,5.603,FALSE
5,8/24/12,79.45,3.62,1985.37,68,4.54,627.6,1355.17,222.7617437,5.603,FALSE
5,8/31/12,84.25,3.638,5211.69,49,13,2799.14,2740.48,222.8958121,5.603,FALSE
5,9/7/12,86.3,3.73,2797.26,1.9,9.61,968.75,2069.3,223.0298805,5.603,TRUE
5,9/14/12,76.65,3.717,2027.18,4,4.55,1354.97,3535.01,223.1734167,5.603,FALSE
5,9/21/12,71.09,3.721,3033.26,5.73,1.1,83.82,4579.05,223.3737593,5.603,FALSE
5,9/28/12,78.33,3.666,1279.39,NA,0.55,425.98,1492.6,223.5741019,5.603,FALSE
5,10/5/12,71.17,3.617,2048.94,NA,6.02,1121.58,2070.87,223.7744444,5.422,FALSE
5,10/12/12,66.24,3.601,1355.87,NA,4,453.98,3562.36,223.974787,5.422,FALSE
5,10/19/12,69.17,3.594,908.91,NA,NA,NA,709.95,224.0192873,5.422,FALSE
5,10/26/12,71.7,3.506,1547.61,1.74,NA,133.31,598.74,224.0378139,5.422,FALSE
5,11/2/12,57.83,3.386,3526.61,1163.63,2.31,514.05,1555.5,224.0563405,5.422,FALSE
5,11/9/12,64.61,3.314,2548.02,2037.54,1.95,303.93,1595.16,224.0748671,5.422,FALSE
5,11/16/12,56.89,3.252,1631.01,-35.74,15.46,326.59,2310.83,224.1066241,5.422,FALSE
5,11/23/12,59.07,3.211,310.95,NA,43319.43,46.61,372.22,224.1560216,5.422,TRUE
5,11/30/12,56.2,3.207,2077.6,NA,2752.82,8.82,3349.59,224.2054191,5.422,FALSE
5,12/7/12,66.13,3.198,2472.7,NA,68,105.14,2359.84,224.2548167,5.422,FALSE
5,12/14/12,52.44,3.168,4007.5,NA,0.49,4.97,1108.47,224.314405,5.422,FALSE
5,12/21/12,58.63,3.098,1344.9,NA,15,NA,911.84,224.4351383,5.422,FALSE
5,12/28/12,47.47,3.108,6052.63,13017.25,60.81,72.8,3503.26,224.5558716,5.422,TRUE
6,1/6/12,50.82,3.157,3220.17,32056.43,108.24,985.76,6650.63,221.3088023,6.132,FALSE
6,1/13/12,48.33,3.261,4779.48,11967.81,65.72,575.13,4512.18,221.4893412,6.132,FALSE
6,1/20/12,55.37,3.268,3413.91,1540.99,33.02,449.06,6587.63,221.5831306,6.132,FALSE
