Store,Dept,Date,Weekly_Sales,IsHoliday
1,3,1/6/12,7175.77,FALSE
2,3,1/6/12,10794.48,FALSE
3,3,1/6/12,4592.38,FALSE
4,3,1/6/12,11451.75,FALSE
5,3,1/6/12,2865.18,FALSE
6,3,1/6/12,11698.75,FALSE
7,3,1/6/12,7754.88,FALSE
8,3,1/6/12,5752.78,FALSE
9,3,1/6/12,4858.67,FALSE
10,3,1/6/12,19301.08,FALSE
11,3,1/6/12,11126.04,FALSE
12,3,1/6/12,10691.96,FALSE
13,3,1/6/12,17077.59,FALSE
14,3,1/6/12,9873.18,FALSE
15,3,1/6/12,6925.1,FALSE
16,3,1/6/12,6133,FALSE
17,3,1/6/12,11367.7,FALSE
18,3,1/6/12,6532.97,FALSE
19,3,1/6/12,9703.75,FALSE
20,3,1/6/12,9727.82,FALSE
21,3,1/6/12,7564.78,FALSE
22,3,1/6/12,6377.62,FALSE
23,3,1/6/12,11761.52,FALSE
24,3,1/6/12,7334.14,FALSE
25,3,1/6/12,6751.82,FALSE
26,3,1/6/12,4891.41,FALSE
27,3,1/6/12,9116.67,FALSE
28,3,1/6/12,7146.18,FALSE
29,3,1/6/12,5562.18,FALSE
30,3,1/6/12,552.94,FALSE
31,3,1/6/12,7129.39,FALSE
32,3,1/6/12,10640.52,FALSE
33,3,1/6/12,229.66,FALSE
34,3,1/6/12,4887.24,FALSE
35,3,1/6/12,6030.03,FALSE
36,3,1/6/12,236.55,FALSE
37,3,1/6/12,1044.17,FALSE
38,3,1/6/12,427.51,FALSE
39,3,1/6/12,12760.53,FALSE
40,3,1/6/12,5687.54,FALSE
41,3,1/6/12,10555.15,FALSE
42,3,1/6/12,628.24,FALSE
43,3,1/6/12,773.43,FALSE
44,3,1/6/12,417.69,FALSE
45,3,1/6/12,5660.57,FALSE
1,4,1/6/12,41566.55,FALSE
2,4,1/6/12,47662.59,FALSE
3,4,1/6/12,9785.43,FALSE
4,4,1/6/12,62758.52,FALSE
5,4,1/6/12,10660.76,FALSE
6,4,1/6/12,39216.6,FALSE
7,4,1/6/12,14682.57,FALSE
8,4,1/6/12,22934.75,FALSE
9,4,1/6/12,19151.51,FALSE
10,4,1/6/12,48904.91,FALSE
11,4,1/6/12,30718.3,FALSE
12,4,1/6/12,26415.86,FALSE
13,4,1/6/12,47396.41,FALSE
14,4,1/6/12,55707.65,FALSE
15,4,1/6/12,13726.48,FALSE
16,4,1/6/12,14363.93,FALSE
17,4,1/6/12,24407.02,FALSE
18,4,1/6/12,27204.19,FALSE
19,4,1/6/12,31996.79,FALSE
20,4,1/6/12,57864.68,FALSE
21,4,1/6/12,16912.1,FALSE
22,4,1/6/12,37016.54,FALSE
23,4,1/6/12,31904.88,FALSE
24,4,1/6/12,34134.53,FALSE
25,4,1/6/12,20883.65,FALSE
26,4,1/6/12,25641.55,FALSE
27,4,1/6/12,45265.76,FALSE
28,4,1/6/12,28700.88,FALSE
29,4,1/6/12,17125.41,FALSE
30,4,1/6/12,13369.57,FALSE
31,4,1/6/12,36838.8,FALSE
32,4,1/6/12,29182.45,FALSE
33,4,1/6/12,6988.53,FALSE
34,4,1/6/12,21667.34,FALSE
35,4,1/6/12,19620.65,FALSE
36,4,1/6/12,8020.84,FALSE
37,4,1/6/12,18737.71,FALSE
38,4,1/6/12,11987.06,FALSE
39,4,1/6/12,53236.79,FALSE
40,4,1/6/12,26287.77,FALSE
41,4,1/6/12,34137.52,FALSE
42,4,1/6/12,15263.79,FALSE
43,4,1/6/12,17815.37,FALSE
44,4,1/6/12,7882.36,FALSE
45,4,1/6/12,26755.58,FALSE
1,5,1/6/12,17233.25,FALSE
2,5,1/6/12,18540.63,FALSE
3,5,1/6/12,12038.1,FALSE
4,5,1/6/12,29025.63,FALSE
5,5,1/6/12,5560.98,FALSE
6,5,1/6/12,28964.04,FALSE
7,5,1/6/12,8219.66,FALSE
8,5,1/6/12,15194.7,FALSE
9,5,1/6/12,16457.74,FALSE
10,5,1/6/12,37920.13,FALSE
11,5,1/6/12,24847.91,FALSE
12,5,1/6/12,16053.37,FALSE
13,5,1/6/12,35801.93,FALSE
14,5,1/6/12,19148.4,FALSE
15,5,1/6/12,7748.02,FALSE
16,5,1/6/12,7147.2,FALSE
17,5,1/6/12,21428.55,FALSE
18,5,1/6/12,12378.76,FALSE
19,5,1/6/12,14398.25,FALSE
20,5,1/6/12,24693.03,FALSE
21,5,1/6/12,11531.48,FALSE
22,5,1/6/12,11837.68,FALSE
23,5,1/6/12,18837.85,FALSE
24,5,1/6/12,19609.23,FALSE
25,5,1/6/12,5985.54,FALSE
26,5,1/6/12,11574.56,FALSE
27,5,1/6/12,18504.42,FALSE
28,5,1/6/12,17291.11,FALSE
29,5,1/6/12,6650.62,FALSE
30,5,1/6/12,302.6,FALSE
31,5,1/6/12,11951.25,FALSE
32,5,1/6/12,13307.98,FALSE
33,5,1/6/12,30,FALSE
34,5,1/6/12,17087.17,FALSE
35,5,1/6/12,15011.18,FALSE
36,5,1/6/12,155,FALSE
37,5,1/6/12,909.8,FALSE
38,5,1/6/12,265.64,FALSE
39,5,1/6/12,17506.68,FALSE
40,5,1/6/12,10139.82,FALSE
41,5,1/6/12,19250.59,FALSE
42,5,1/6/12,750.22,FALSE
43,5,1/6/12,715.24,FALSE
44,5,1/6/12,915.16,FALSE
45,5,1/6/12,7633.63,FALSE
1,6,1/6/12,3249.75,FALSE
2,6,1/6/12,5385.61,FALSE
3,6,1/6/12,2129.04,FALSE
4,6,1/6/12,6184.33,FALSE
5,6,1/6/12,555.86,FALSE
6,6,1/6/12,6561.34,FALSE
7,6,1/6/12,3244.41,FALSE
8,6,1/6/12,3203.46,FALSE
9,6,1/6/12,2770.52,FALSE
10,6,1/6/12,8761.11,FALSE
11,6,1/6/12,4456.28,FALSE
12,6,1/6/12,5570.79,FALSE
13,6,1/6/12,6580.61,FALSE
14,6,1/6/12,4029.82,FALSE
15,6,1/6/12,2524.8,FALSE
16,6,1/6/12,3532.92,FALSE
17,6,1/6/12,5156.08,FALSE
18,6,1/6/12,4093.83,FALSE
19,6,1/6/12,3291.07,FALSE
20,6,1/6/12,4336.25,FALSE
21,6,1/6/12,3275.4,FALSE
22,6,1/6/12,2779.04,FALSE
23,6,1/6/12,5945.99,FALSE
24,6,1/6/12,2829.15,FALSE
25,6,1/6/12,2643.26,FALSE
26,6,1/6/12,2562.08,FALSE
27,6,1/6/12,5892.66,FALSE
28,6,1/6/12,2756,FALSE
29,6,1/6/12,2240.05,FALSE
30,6,1/6/12,15.88,FALSE
31,6,1/6/12,3167.78,FALSE
32,6,1/6/12,3597.06,FALSE
34,6,1/6/12,3892.85,FALSE
35,6,1/6/12,4385.01,FALSE
37,6,1/6/12,59.28,FALSE
38,6,1/6/12,46.34,FALSE
39,6,1/6/12,4987.2,FALSE
40,6,1/6/12,2731.47,FALSE
41,6,1/6/12,4076.87,FALSE
44,6,1/6/12,38.64,FALSE
45,6,1/6/12,2515.53,FALSE
1,7,1/6/12,31568.92,FALSE
2,7,1/6/12,56434.48,FALSE
3,7,1/6/12,12479.49,FALSE
4,7,1/6/12,76274.69,FALSE
5,7,1/6/12,8831.58,FALSE
6,7,1/6/12,47654.41,FALSE
7,7,1/6/12,11375.51,FALSE
8,7,1/6/12,30795.83,FALSE
9,7,1/6/12,19695.89,FALSE
10,7,1/6/12,55763.78,FALSE
11,7,1/6/12,36806.46,FALSE
12,7,1/6/12,36468.99,FALSE
13,7,1/6/12,70962.52,FALSE
14,7,1/6/12,71623.74,FALSE
15,7,1/6/12,23446.26,FALSE
16,7,1/6/12,12210.79,FALSE
17,7,1/6/12,19784.68,FALSE
18,7,1/6/12,33997.85,FALSE
19,7,1/6/12,40614.33,FALSE
20,7,1/6/12,64386.23,FALSE
21,7,1/6/12,24130.87,FALSE
22,7,1/6/12,37322.36,FALSE
23,7,1/6/12,44337.51,FALSE
24,7,1/6/12,37356.16,FALSE
25,7,1/6/12,20316.51,FALSE
26,7,1/6/12,14079.62,FALSE
27,7,1/6/12,58245.86,FALSE
28,7,1/6/12,26447.45,FALSE
29,7,1/6/12,19098.67,FALSE
30,7,1/6/12,503.99,FALSE
31,7,1/6/12,23993.44,FALSE
32,7,1/6/12,27287.85,FALSE
33,7,1/6/12,509.4,FALSE
34,7,1/6/12,27553.66,FALSE
35,7,1/6/12,45064.59,FALSE
36,7,1/6/12,846.11,FALSE
37,7,1/6/12,1516.64,FALSE
38,7,1/6/12,493.3,FALSE
39,7,1/6/12,52399.99,FALSE
40,7,1/6/12,18628.07,FALSE
41,7,1/6/12,42039.68,FALSE
42,7,1/6/12,892.17,FALSE
43,7,1/6/12,837.27,FALSE
44,7,1/6/12,484.43,FALSE
45,7,1/6/12,37134.99,FALSE
1,8,1/6/12,41039.74,FALSE
2,8,1/6/12,60451.26,FALSE
3,8,1/6/12,9497.63,FALSE
4,8,1/6/12,64565.12,FALSE
5,8,1/6/12,14923.22,FALSE
6,8,1/6/12,51514.2,FALSE
7,8,1/6/12,14208.97,FALSE
8,8,1/6/12,28389.77,FALSE
9,8,1/6/12,24202.24,FALSE
10,8,1/6/12,86720.67,FALSE
11,8,1/6/12,36458.09,FALSE
12,8,1/6/12,40898.5,FALSE
13,8,1/6/12,35499.31,FALSE
14,8,1/6/12,52805.13,FALSE
15,8,1/6/12,19927.48,FALSE
16,8,1/6/12,13158.55,FALSE
17,8,1/6/12,19940.75,FALSE
18,8,1/6/12,28685.38,FALSE
19,8,1/6/12,38485.96,FALSE
20,8,1/6/12,78285.83,FALSE
21,8,1/6/12,17406.99,FALSE
22,8,1/6/12,36699.57,FALSE
23,8,1/6/12,36866.32,FALSE
24,8,1/6/12,49771.79,FALSE
25,8,1/6/12,27865.6,FALSE
26,8,1/6/12,27642.03,FALSE
27,8,1/6/12,40024.17,FALSE
28,8,1/6/12,31552.08,FALSE
29,8,1/6/12,20477.95,FALSE
30,8,1/6/12,11067.99,FALSE
31,8,1/6/12,24760.96,FALSE
32,8,1/6/12,24432.79,FALSE
33,8,1/6/12,4159.77,FALSE
34,8,1/6/12,26630.73,FALSE
35,8,1/6/12,16885.99,FALSE
36,8,1/6/12,3810.18,FALSE
37,8,1/6/12,16932.6,FALSE
38,8,1/6/12,9848.99,FALSE
39,8,1/6/12,38446.01,FALSE
40,8,1/6/12,34259.73,FALSE
41,8,1/6/12,35160.24,FALSE
42,8,1/6/12,19425.38,FALSE
43,8,1/6/12,12877.3,FALSE
44,8,1/6/12,5539.76,FALSE
45,8,1/6/12,33426.22,FALSE
1,9,1/6/12,35001.66,FALSE
2,9,1/6/12,41354.92,FALSE
3,9,1/6/12,10011.93,FALSE
4,9,1/6/12,46354.28,FALSE
5,9,1/6/12,9598.81,FALSE
6,9,1/6/12,66121.88,FALSE
7,9,1/6/12,44411.69,FALSE
8,9,1/6/12,12400.45,FALSE
9,9,1/6/12,16468.26,FALSE
10,9,1/6/12,74275.8,FALSE
11,9,1/6/12,25408.93,FALSE
12,9,1/6/12,25071.14,FALSE
13,9,1/6/12,56551.64,FALSE
14,9,1/6/12,35028.5,FALSE
15,9,1/6/12,22369.61,FALSE
16,9,1/6/12,33884.49,FALSE
17,9,1/6/12,42537.32,FALSE
18,9,1/6/12,22268.18,FALSE
19,9,1/6/12,39488.09,FALSE
20,9,1/6/12,46752.05,FALSE
21,9,1/6/12,22461.92,FALSE
22,9,1/6/12,32838.82,FALSE
23,9,1/6/12,68597.06,FALSE
24,9,1/6/12,38285.41,FALSE
25,9,1/6/12,19922,FALSE
26,9,1/6/12,25886.34,FALSE
27,9,1/6/12,44486.59,FALSE
28,9,1/6/12,22168.85,FALSE
29,9,1/6/12,16904.96,FALSE
30,9,1/6/12,115,FALSE
31,9,1/6/12,15354.77,FALSE
32,9,1/6/12,31259.38,FALSE
33,9,1/6/12,36.56,FALSE
34,9,1/6/12,23823.03,FALSE
35,9,1/6/12,23460.56,FALSE
36,9,1/6/12,176.95,FALSE
37,9,1/6/12,445.05,FALSE
38,9,1/6/12,113.02,FALSE
39,9,1/6/12,30660.79,FALSE
40,9,1/6/12,29045.87,FALSE
41,9,1/6/12,61222.12,FALSE
42,9,1/6/12,161.35,FALSE
43,9,1/6/12,467.11,FALSE
44,9,1/6/12,152.09,FALSE
45,9,1/6/12,20181.87,FALSE
1,10,1/6/12,37294.14,FALSE
2,10,1/6/12,40129.69,FALSE
3,10,1/6/12,12269.28,FALSE
4,10,1/6/12,45117.98,FALSE
5,10,1/6/12,10168.23,FALSE
6,10,1/6/12,57473.7,FALSE
7,10,1/6/12,18179.18,FALSE
8,10,1/6/12,23109.05,FALSE
9,10,1/6/12,16344.43,FALSE
10,10,1/6/12,49258.91,FALSE
11,10,1/6/12,25434.16,FALSE
12,10,1/6/12,20961.72,FALSE
13,10,1/6/12,32814.76,FALSE
14,10,1/6/12,23384.23,FALSE
15,10,1/6/12,13299.01,FALSE
16,10,1/6/12,11853.77,FALSE
17,10,1/6/12,14825.34,FALSE
18,10,1/6/12,16670.17,FALSE
19,10,1/6/12,30098.4,FALSE
20,10,1/6/12,41486.08,FALSE
21,10,1/6/12,15890.76,FALSE
22,10,1/6/12,23112.86,FALSE
23,10,1/6/12,32580.28,FALSE
24,10,1/6/12,31417.91,FALSE
25,10,1/6/12,22813.37,FALSE
26,10,1/6/12,11814.82,FALSE
27,10,1/6/12,40890.11,FALSE
28,10,1/6/12,20578.99,FALSE
29,10,1/6/12,10140.7,FALSE
30,10,1/6/12,238.37,FALSE
31,10,1/6/12,20586.11,FALSE
32,10,1/6/12,23895.42,FALSE
33,10,1/6/12,104.05,FALSE
34,10,1/6/12,18087.3,FALSE
35,10,1/6/12,14817.5,FALSE
36,10,1/6/12,311.77,FALSE
37,10,1/6/12,460.51,FALSE
38,10,1/6/12,309.06,FALSE
39,10,1/6/12,21038.26,FALSE
40,10,1/6/12,22596.29,FALSE
41,10,1/6/12,17771.98,FALSE
42,10,1/6/12,413.51,FALSE
43,10,1/6/12,339.04,FALSE
44,10,1/6/12,84.18,FALSE
45,10,1/6/12,17945.33,FALSE
1,11,1/6/12,32406.68,FALSE
2,11,1/6/12,25067.26,FALSE
3,11,1/6/12,19064.27,FALSE
4,11,1/6/12,33128.98,FALSE
5,11,1/6/12,9413.7,FALSE
6,11,1/6/12,27638.68,FALSE
7,11,1/6/12,13986.58,FALSE
8,11,1/6/12,21229.88,FALSE
9,11,1/6/12,19655.54,FALSE
10,11,1/6/12,29595.41,FALSE
11,11,1/6/12,20463.23,FALSE
12,11,1/6/12,18098.64,FALSE
13,11,1/6/12,19573.27,FALSE
14,11,1/6/12,46137.84,FALSE
15,11,1/6/12,34246.67,FALSE
16,11,1/6/12,10928.56,FALSE
17,11,1/6/12,13450.04,FALSE
18,11,1/6/12,64234.11,FALSE
19,11,1/6/12,51818.51,FALSE
20,11,1/6/12,57232.28,FALSE
21,11,1/6/12,14489.73,FALSE
22,11,1/6/12,53286.63,FALSE
23,11,1/6/12,52733.84,FALSE
24,11,1/6/12,49641.36,FALSE
25,11,1/6/12,20015.79,FALSE
26,11,1/6/12,13178.22,FALSE
27,11,1/6/12,59862.54,FALSE
28,11,1/6/12,13624.57,FALSE
29,11,1/6/12,23722.25,FALSE
30,11,1/6/12,711.32,FALSE
31,11,1/6/12,12399.91,FALSE
32,11,1/6/12,13196.16,FALSE
33,11,1/6/12,145.2,FALSE
34,11,1/6/12,18204.31,FALSE
35,11,1/6/12,76321.27,FALSE
36,11,1/6/12,198.09,FALSE
37,11,1/6/12,1925.46,FALSE
38,11,1/6/12,782.28,FALSE
39,11,1/6/12,25958.11,FALSE
40,11,1/6/12,16374.61,FALSE
41,11,1/6/12,13765.49,FALSE
42,11,1/6/12,737.58,FALSE
43,11,1/6/12,507.82,FALSE
44,11,1/6/12,405.36,FALSE
45,11,1/6/12,40147.62,FALSE
1,12,1/6/12,11542.81,FALSE
2,12,1/6/12,8738.43,FALSE
3,12,1/6/12,3133.78,FALSE
4,12,1/6/12,9849.7,FALSE
5,12,1/6/12,3365.91,FALSE
6,12,1/6/12,7567.47,FALSE
7,12,1/6/12,7161.26,FALSE
8,12,1/6/12,8394.61,FALSE
9,12,1/6/12,6666.99,FALSE
10,12,1/6/12,10794.19,FALSE
11,12,1/6/12,4989.3,FALSE
12,12,1/6/12,4639.85,FALSE
13,12,1/6/12,10096.01,FALSE
14,12,1/6/12,6579.56,FALSE
15,12,1/6/12,5001.39,FALSE
16,12,1/6/12,4546.38,FALSE
17,12,1/6/12,8326.13,FALSE
18,12,1/6/12,4274.87,FALSE
19,12,1/6/12,7569.06,FALSE
20,12,1/6/12,9902.76,FALSE
21,12,1/6/12,2821.1,FALSE
22,12,1/6/12,4179.23,FALSE
23,12,1/6/12,7665.83,FALSE
24,12,1/6/12,5827.75,FALSE
25,12,1/6/12,3845.64,FALSE
26,12,1/6/12,5864.21,FALSE
27,12,1/6/12,3882.22,FALSE
28,12,1/6/12,3509.78,FALSE
29,12,1/6/12,2622.52,FALSE
30,12,1/6/12,69.02,FALSE
31,12,1/6/12,3125.96,FALSE
32,12,1/6/12,3730.06,FALSE
33,12,1/6/12,50.07,FALSE
34,12,1/6/12,5433.15,FALSE
35,12,1/6/12,1908.83,FALSE
36,12,1/6/12,46.4,FALSE
37,12,1/6/12,247.78,FALSE
38,12,1/6/12,113.74,FALSE
39,12,1/6/12,5774.44,FALSE
40,12,1/6/12,5671.32,FALSE
41,12,1/6/12,5517.6,FALSE
42,12,1/6/12,97.15,FALSE
43,12,1/6/12,96.24,FALSE
44,12,1/6/12,98.67,FALSE
45,12,1/6/12,3715.59,FALSE
1,13,1/6/12,41462.8,FALSE
2,13,1/6/12,46920.79,FALSE
3,13,1/6/12,12790.61,FALSE
4,13,1/6/12,76236.7,FALSE
5,13,1/6/12,11659.31,FALSE
6,13,1/6/12,39998.09,FALSE
7,13,1/6/12,14099.34,FALSE
8,13,1/6/12,25468.02,FALSE
9,13,1/6/12,24022.4,FALSE
10,13,1/6/12,60136.59,FALSE
11,13,1/6/12,42356.14,FALSE
12,13,1/6/12,45551.91,FALSE
13,13,1/6/12,45078.57,FALSE
14,13,1/6/12,59284.48,FALSE
15,13,1/6/12,18512.18,FALSE
16,13,1/6/12,14174.19,FALSE
17,13,1/6/12,22342.23,FALSE
18,13,1/6/12,40380.56,FALSE
19,13,1/6/12,32027.52,FALSE
20,13,1/6/12,55342.38,FALSE
21,13,1/6/12,25376.49,FALSE
22,13,1/6/12,39011.43,FALSE
23,13,1/6/12,39162.77,FALSE
24,13,1/6/12,30014.51,FALSE
25,13,1/6/12,24165.45,FALSE
26,13,1/6/12,21211.51,FALSE
27,13,1/6/12,53498.48,FALSE
28,13,1/6/12,35468.06,FALSE
29,13,1/6/12,18695.21,FALSE
30,13,1/6/12,11314.21,FALSE
31,13,1/6/12,43161.56,FALSE
32,13,1/6/12,27915.7,FALSE
33,13,1/6/12,7480.55,FALSE
34,13,1/6/12,24676.98,FALSE
35,13,1/6/12,32313.5,FALSE
36,13,1/6/12,10756.1,FALSE
37,13,1/6/12,17369.54,FALSE
38,13,1/6/12,10765.43,FALSE
39,13,1/6/12,59707.2,FALSE
40,13,1/6/12,21423.23,FALSE
41,13,1/6/12,31763.9,FALSE
42,13,1/6/12,14815.83,FALSE
43,13,1/6/12,17183.07,FALSE
44,13,1/6/12,7188.79,FALSE
45,13,1/6/12,27465.97,FALSE
1,14,1/6/12,14903.87,FALSE
2,14,1/6/12,22565.57,FALSE
3,14,1/6/12,4457.6,FALSE
4,14,1/6/12,27783.64,FALSE
5,14,1/6/12,4190.03,FALSE
6,14,1/6/12,30038.28,FALSE
7,14,1/6/12,8972.17,FALSE
8,14,1/6/12,8907.88,FALSE
9,14,1/6/12,7538.11,FALSE
10,14,1/6/12,34138.77,FALSE
11,14,1/6/12,20759.96,FALSE
12,14,1/6/12,18233.69,FALSE
13,14,1/6/12,26954.75,FALSE
14,14,1/6/12,21625.07,FALSE
15,14,1/6/12,10516.54,FALSE
16,14,1/6/12,6832.44,FALSE
17,14,1/6/12,12272.82,FALSE
18,14,1/6/12,15207.22,FALSE
19,14,1/6/12,16274.24,FALSE
20,14,1/6/12,21624.77,FALSE
21,14,1/6/12,11855.23,FALSE
22,14,1/6/12,15932.37,FALSE
23,14,1/6/12,34126.62,FALSE
24,14,1/6/12,16793.7,FALSE
25,14,1/6/12,8901.13,FALSE
26,14,1/6/12,8191.59,FALSE
27,14,1/6/12,27543.55,FALSE
28,14,1/6/12,13542.37,FALSE
29,14,1/6/12,7859.4,FALSE
30,14,1/6/12,1093.89,FALSE
31,14,1/6/12,15913.92,FALSE
32,14,1/6/12,15453.66,FALSE
33,14,1/6/12,821.38,FALSE
34,14,1/6/12,10074.91,FALSE
35,14,1/6/12,24767.77,FALSE
36,14,1/6/12,1207.87,FALSE
37,14,1/6/12,1481.76,FALSE
38,14,1/6/12,1160.51,FALSE
39,14,1/6/12,24679.15,FALSE
40,14,1/6/12,10633.64,FALSE
41,14,1/6/12,15762.87,FALSE
42,14,1/6/12,812.52,FALSE
43,14,1/6/12,1963.08,FALSE
44,14,1/6/12,1020.07,FALSE
45,14,1/6/12,11382.78,FALSE
1,16,1/6/12,45508.72,FALSE
2,16,1/6/12,51827.41,FALSE
3,16,1/6/12,14580.47,FALSE
4,16,1/6/12,41073.11,FALSE
5,16,1/6/12,13479.48,FALSE
6,16,1/6/12,51046.06,FALSE
7,16,1/6/12,44220.91,FALSE
8,16,1/6/12,38882.21,FALSE
9,16,1/6/12,22852.03,FALSE
10,16,1/6/12,50533.95,FALSE
11,16,1/6/12,28902.88,FALSE
12,16,1/6/12,13813.62,FALSE
13,16,1/6/12,52640.03,FALSE
14,16,1/6/12,93976.96,FALSE
15,16,1/6/12,45038.3,FALSE
16,16,1/6/12,32335.54,FALSE
17,16,1/6/12,34961.9,FALSE
18,16,1/6/12,43015.18,FALSE
19,16,1/6/12,87247.32,FALSE
20,16,1/6/12,83346.55,FALSE
21,16,1/6/12,12989.81,FALSE
22,16,1/6/12,63659.9,FALSE
23,16,1/6/12,76627.67,FALSE
24,16,1/6/12,61916.52,FALSE
25,16,1/6/12,46863.75,FALSE
26,16,1/6/12,43482.32,FALSE
27,16,1/6/12,80531.38,FALSE
28,16,1/6/12,11872.68,FALSE
29,16,1/6/12,23336.71,FALSE
30,16,1/6/12,3397.27,FALSE
31,16,1/6/12,17635.69,FALSE
32,16,1/6/12,37004.9,FALSE
33,16,1/6/12,583.25,FALSE
34,16,1/6/12,30499.89,FALSE
35,16,1/6/12,28914.61,FALSE
36,16,1/6/12,933.4,FALSE
37,16,1/6/12,3863.44,FALSE
38,16,1/6/12,1228.55,FALSE
39,16,1/6/12,53542.24,FALSE
40,16,1/6/12,44743.64,FALSE
41,16,1/6/12,46386.4,FALSE
42,16,1/6/12,1736.15,FALSE
43,16,1/6/12,4344.77,FALSE
44,16,1/6/12,1205.87,FALSE
45,16,1/6/12,48043.58,FALSE
1,17,1/6/12,7197.38,FALSE
2,17,1/6/12,12311.16,FALSE
3,17,1/6/12,2146.62,FALSE
4,17,1/6/12,14672.2,FALSE
5,17,1/6/12,2126.92,FALSE
6,17,1/6/12,16443.2,FALSE
7,17,1/6/12,5558.63,FALSE
8,17,1/6/12,6990.59,FALSE
9,17,1/6/12,4404.41,FALSE
10,17,1/6/12,25475.85,FALSE
11,17,1/6/12,12104.91,FALSE
12,17,1/6/12,10033.47,FALSE
13,17,1/6/12,15538.3,FALSE
14,17,1/6/12,18676.48,FALSE
15,17,1/6/12,8896.59,FALSE
16,17,1/6/12,7218.71,FALSE
17,17,1/6/12,7725.41,FALSE
18,17,1/6/12,9898.62,FALSE
19,17,1/6/12,12942.97,FALSE
20,17,1/6/12,13499.62,FALSE
21,17,1/6/12,6252.89,FALSE
22,17,1/6/12,11748.27,FALSE
23,17,1/6/12,28043.22,FALSE
24,17,1/6/12,10770.71,FALSE
25,17,1/6/12,7589.2,FALSE
26,17,1/6/12,6435.58,FALSE
27,17,1/6/12,15868.04,FALSE
28,17,1/6/12,7401.51,FALSE
29,17,1/6/12,7248.52,FALSE
30,17,1/6/12,2.34,FALSE
